stratum,corpus,policy,max_length,total_conversations_primary,trained_units_primary,unsupported_units_primary,conditional_prevalence_primary,affected_conversations_primary,conversation_incidence_primary,nominal_objective_exposure_primary,processed_objective_exposure_primary,supervised_token_retention_primary,total_conversations_strict,trained_units_strict,unsupported_units_strict,conditional_prevalence_strict,affected_conversations_strict,conversation_incidence_strict,nominal_objective_exposure_strict,processed_objective_exposure_strict,supervised_token_retention_strict,delta_conditional_percentage_points,delta_nominal_objective_percentage_points
exclude_numeric_only,glaive,wrapped_single_batch,512,5000,4541,654,0.1440211407179035,654,0.1308,0.0185596285451021,0.0185953298124861,0.9980800949623396,5000,4357,636,0.1459719990819371,636,0.1272,0.0177906828041434,0.0178249049289122,0.9980800949623396,0.19508583640335808,-0.07689457409587007
exclude_numeric_only,glaive,wrapped_single_batch,1024,5000,4567,317,0.0694109918984015,317,0.0634,0.008883044828389,0.0088913833338256,0.9990621813137988,5000,4383,310,0.0707278120009126,310,0.062,0.0085026708158038,0.0085106522645293,0.9990621813137988,0.1316820102511107,-0.038037401258519954
exclude_numeric_only,glaive,wrapped_single_batch,2048,5000,4578,144,0.0314547837483617,144,0.0288,0.0043005217026327,0.0043024404006206,0.999554044261107,5000,4394,140,0.0318616294947655,140,0.028,0.0041316487573902,0.0041334921119192,0.999554044261107,0.04068457464038028,-0.01688729452425002
exclude_numeric_only,glaive,wrapped_single_batch,4096,5000,4582,73,0.0159319074639895,73,0.0146,0.0023789771218147,0.0023795506240785,0.9997589871558188,5000,4398,71,0.0161437016825829,71,0.0142,0.0023035581365608,0.0023041134574985,0.9997589871558188,0.02117942185933981,-0.007541898525390001
exclude_numeric_only,glaive,wrapped_single_batch,8192,5000,4586,38,0.0082860880941997,38,0.0076,0.0012329364545862,0.0012331002139888,0.9998671970042268,5000,4401,37,0.0084071801863212,37,0.0074,0.0012280178251132,0.0012281809312202,0.9998671970042268,0.01210920921214994,-0.0004918629473000006
exclude_numeric_only,toolace,bfd_split,256,11300,765,474,0.6196078431372549,389,0.0344247787610619,0.0233174877418375,0.0234080277854351,0.9961320943213376,11300,751,465,0.6191744340878829,382,0.0338053097345132,0.023066394417394,0.0231559594845793,0.9961320943213376,-0.04334090493720577,-0.02510933244435007
exclude_numeric_only,toolace,bfd_split,512,11300,773,297,0.3842173350582147,259,0.0229203539823008,0.0161554513429218,0.0161886448219891,0.9979495825974162,11300,759,292,0.3847167325428195,255,0.0225663716814159,0.0160507400842177,0.0160837184203651,0.9979495825974162,0.049939748460481326,-0.01047112587041002
exclude_numeric_only,toolace,bfd_split,1024,11300,775,208,0.2683870967741935,195,0.0172566371681415,0.0116325660562427,0.0116417958328209,0.9992071861840972,11300,761,205,0.2693823915900131,192,0.0169911504424778,0.011536402655392,0.0115455561318056,0.9992071861840972,0.0995294815819614,-0.009616340085069966
exclude_numeric_only,toolace,bfd_split,2048,11300,778,38,0.0488431876606683,36,0.0031858407079646,0.0031979673194024,0.0031982031078028,0.9999262747260144,11300,763,38,0.0498034076015727,36,0.0031858407079646,0.0031936933904757,0.0031939288637563,0.9999262747260144,0.09602199409044013,-0.00042739289266998347
exclude_numeric_only,toolace,bfd_split,4096,11300,778,2,0.0025706940874035,2,0.0001769911504424,0.0001239439388742,0.0001239443361712,0.9999967945533048,11300,763,2,0.0026212319790301,2,0.0001769911504424,0.0001239439388742,0.0001239443361712,0.9999967945533048,0.005053789162660005,0.0
exclude_numeric_only,toolace,bfd_split,8192,11300,778,0,0.0,0,0.0,0.0,0.0,1.0,11300,763,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
exclude_numeric_only,toolace,wrapped_single_batch,256,11300,772,478,0.6191709844559585,398,0.035221238938053,0.0236433748224983,0.0237365805936719,0.9960733277985954,11300,757,472,0.6235138705416117,393,0.0347787610619469,0.0233271040819226,0.0234190630658462,0.9960733277985954,0.43428860856531415,-0.03162707405757019
exclude_numeric_only,toolace,wrapped_single_batch,512,11300,774,308,0.3979328165374677,277,0.0245132743362831,0.0164364621698523,0.0164688223983692,0.9980350611759502,11300,759,301,0.3965744400527009,272,0.0240707964601769,0.0163210660888314,0.0163531991246889,0.9980350611759502,-0.13583764847667767,-0.011539608102090204
exclude_numeric_only,toolace,wrapped_single_batch,1024,11300,776,183,0.2358247422680412,172,0.015221238938053,0.0101559236120682,0.010165764528594,0.9990319550981028,11300,761,179,0.2352168199737188,169,0.0149557522123893,0.0100832668203144,0.0100930373336499,0.9990319550981028,-0.06079222943224105,-0.007265679175380048
exclude_numeric_only,toolace,wrapped_single_batch,2048,11300,776,94,0.1211340206185567,94,0.0083185840707964,0.0044822829618754,0.0044845206533823,0.999501018797808,11300,761,93,0.1222076215505913,93,0.0082300884955752,0.0044662557284003,0.0044684854186265,0.999501018797808,0.10736009320345963,-0.001602723347510042
